competencia,codigo_uf,sigla_uf,estado,regiao,internacoes,permanencia_media,obitos,taxa_mortalidade,leitos_sus,populacao,internacoes_por_100k_hab,leitos_sus_por_10k_hab,internacoes_por_leito,variacao_mensal_internacoes_pct,tercil_pressao_assistencial
2026-04,17,TO,Tocantins,Norte,9167,5.2,260,2.84,2870,1595994,574.38,17.98,3.194,-4.25,medio
2026-04,21,MA,Maranhão,Nordeste,39802,5.2,1398,3.51,13301,7024557,566.61,18.94,2.992,-5.91,medio
2026-04,22,PI,Piauí,Nordeste,17554,5.2,692,3.94,6152,3392617,517.42,18.13,2.853,-3.15,baixo
2026-04,23,CE,Ceará,Nordeste,49255,5.7,1914,3.89,15969,9302211,529.5,17.17,3.084,-6.37,baixo
2026-04,24,RN,Rio Grande do Norte,Nordeste,18209,4.8,702,3.86,6220,3463737,525.7,17.96,2.927,-2.14,baixo
2026-04,25,PB,Paraíba,Nordeste,21924,5.1,1102,5.03,7543,4182828,524.14,18.03,2.907,-4.59,baixo
2026-04,26,PE,Pernambuco,Nordeste,56845,5.1,2436,4.29,16025,9583176,593.17,16.72,3.547,-2.2,medio
2026-04,27,AL,Alagoas,Nordeste,15481,5.9,877,5.67,5406,3221128,480.61,16.78,2.864,1.71,baixo
2026-04,28,SE,Sergipe,Nordeste,10880,4.8,404,3.71,2760,2307255,471.56,11.96,3.942,-3.36,baixo
2026-04,29,BA,Bahia,Nordeste,81916,4.6,3243,3.96,25005,14889472,550.16,16.79,3.276,-2.32,medio
2026-04,31,MG,Minas Gerais,Sudeste,134164,4.6,5683,4.24,29778,21460311,625.17,13.88,4.505,-3.59,alto
2026-04,32,ES,Espírito Santo,Sudeste,25670,4.6,931,3.63,5971,4150692,618.45,14.39,4.299,-2.12,alto
2026-04,33,RJ,Rio de Janeiro,Sudeste,77640,5.9,4807,6.19,21061,17225410,450.73,12.23,3.686,-4.18,baixo
2026-04,35,SP,São Paulo,Sudeste,246274,5.0,11277,4.58,54722,46179008,533.3,11.85,4.5,-1.9,medio
2026-04,41,PR,Paraná,Sul,84114,4.1,3014,3.58,19319,11952456,703.74,16.16,4.354,-9.92,alto
2026-04,42,SC,Santa Catarina,Sul,58378,4.0,2134,3.66,11778,8312759,702.27,14.17,4.957,-0.34,alto
2026-04,43,RS,Rio Grande do Sul,Sul,74654,5.6,3575,4.79,20100,11233317,664.58,17.89,3.714,1.62,alto
2026-04,50,MS,Mato Grosso do Sul,Centro-Oeste,17492,4.8,709,4.05,4058,2946317,593.69,13.77,4.31,2.98,alto
2026-04,51,MT,Mato Grosso,Centro-Oeste,22749,4.3,675,2.97,6099,3950330,575.88,15.44,3.73,-0.9,medio
2026-04,52,GO,Goiás,Centro-Oeste,38077,4.5,1364,3.58,11622,7495033,508.03,15.51,3.276,-2.56,baixo
2026-04,53,DF,Distrito Federal,Centro-Oeste,19689,5.5,562,2.85,5000,3009996,654.12,16.61,3.938,-3.24,alto
